,Symbol,Div,AD,ED,RD
45,ABC,0.4,2019-11-07,2019-11-15,2019-11-18
46,ABC,0.4,2019-08-08,2019-08-16,2019-08-19
47,ABC,0.4,2019-05-08,2019-05-17,2019-05-20
48,ABC,0.4,2019-02-05,2019-02-15,2019-02-19
49,ABC,0.4,2018-11-06,2018-11-16,2018-11-19
50,ABEV,0.120835,2019-12-04,2019-12-20,2019-12-23
51,ABEV,0.081518,2018-12-05,2018-12-19,2018-12-20
52,ABTX,0.1,2020-07-23,2020-08-28,2020-08-31
53,ABTX,0.1,2020-04-23,2020-05-28,2020-05-29
54,ABTX,0.1,2020-01-29,2020-02-27,2020-02-28
55,AC,0.1,2020-05-05,2020-06-15,2020-06-16
56,AC,0.1,2019-11-08,2019-12-24,2019-12-26
57,AC,0.1,2019-05-07,2019-06-17,2019-06-18
58,AC,0.1,2018-11-06,2018-12-24,2018-12-26
